GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Ingeniería de Tecnologías de Telecomunicación","Tecnologías del Habla","Complementos de Sistemas de Telecomunicación","Ingeniería y Arquitectura","Complementos de Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Procesamiento de Vídeo Digital","Complementos de Sistemas de Telecomunicación","Ingeniería y Arquitectura","Complementos de Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Laboratorio de Telemática","Complementos de Telemática","Ingeniería y Arquitectura","Complementos de Telemática",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Programación de Sistemas Empotrados y de Tiempo Real","Complementos de Telemática","Ingeniería y Arquitectura","Complementos de Telemática",es,"<p>Se utiliza software libre de distinto tipo para la programación de sistemas empotrados.</p>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Tecnología de Circuitos Impresos","Complementos de Sistemas Electrónicos","Ingeniería y Arquitectura","Complementos de Sistemas Electrónicos",es,"<p>Jupyer Lab con Python</p>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Arquitecturas Especializadas para Telecomunicaciones","Complementos de Sistemas Electrónicos","Ingeniería y Arquitectura","Complementos de Sistemas Electrónicos",es,
"Grado en Ingeniería Electrónica Industrial","Matemáticas I",Matemáticas,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Matemáticas II",Matemáticas,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Mecánica, Ondas y Termodinámica",Física,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Fundamentos de Informática",Informática,"Ingeniería y Arquitectura","Formación Básica",es,"<p>Linux, Octave, Code::Blocks, Arduino IDE</p>&#13;"
"Grado en Ingeniería Electrónica Industrial",Química,Química,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Matemáticas III",Matemáticas,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Matemáticas IV",Matemáticas,"Ingeniería y Arquitectura","Formación Básica",es,"<p>Se utilizará el software libre R, junto al paquete R-Commander.</p>&#13;"
"Grado en Ingeniería Electrónica Industrial",Electromagnetismo,Física,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Representación Gráfica y Diseño Asistido por Ordenador",Informática,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Fundamentos de la Empresa",Empresa,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Electrónica Industrial","Termodinámica Técnica y Fluidos","Termodinámica Técnica y Fluidos","Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Ciencia y Tecnología de los Materiales","Ciencia y Tecnología de los Materiales","Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Resistencia de Materiales",Electrotecnia,"Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial",Electrotecnia,Electrotecnia,"Ingeniería y Arquitectura","Común a la Rama Industrial",es,"<p>SciLab para las prácticas de laboratorio.</p>&#13;"
"Grado en Ingeniería Electrónica Industrial","Componentes Electrónicos","Fundamentos de Electrónica","Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Máquinas y Mecanismos","Máquinas y Mecanismos","Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Electrónica Básica","Fundamentos de Electrónica","Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Fundamentos de Control","Fundamentos de Control","Ingeniería y Arquitectura","Común a la Rama Industrial",es,"<p>Sí, Octave</p>&#13;"
"Grado en Ingeniería Electrónica Industrial","Tratamiento y Transmisión de Señales","Tratamiento y Transmisión de Señales","Ingeniería y Arquitectura","Complementos Obligatorios",es,
"Grado en Ingeniería Electrónica Industrial","Electrónica Digital","Electrónica Digital y Microprocesadores","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Gestión de la Producción","Gestión de la Producción","Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Electrónica Analógica","Electrónica Analógica e Instrumentación","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,"<p>LTspice (https://www.analog.com/en/resources/design-tools-and-calculators/ltspice-simulator.html)</p>&#13;"
"Grado en Ingeniería Electrónica Industrial","Procesadores Integrados","Electrónica Digital y Microprocesadores","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Electrónica de Potencia","Tecnología Eléctrica y Potencia","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Ingeniería de Sistemas","Automática y Comunicaciones Industriales","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,"<p>Se hará uso de los siguientes herramientas de software libre:</p>&#13;&#13;<ul>&#13;	<li>GNU Octave</li>&#13;	<li>Arduino IDE</li>&#13;</ul>&#13;"
"Grado en Ingeniería Electrónica Industrial","Instrumentación Electrónica","Electrónica Analógica e Instrumentación","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,
"Grado en Ingeniería Electrónica Industrial",Automática,"Automática y Comunicaciones Industriales","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Informática y Comunicaciones Industriales","Automática y Comunicaciones Industriales","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,"<p>Se hará uso de los siguientes herramientas de software libre:</p>&#13;&#13;<ul>&#13;	<li>Arduino IDE</li>&#13;</ul>&#13;"
"Grado en Ingeniería Electrónica Industrial","Diseño y Fabricación de Circuitos Integrados","Diseño y Fabricación de Circuitos Integrados","Ingeniería y Arquitectura","Complementos Obligatorios",es,
"Grado en Ingeniería Electrónica Industrial","Tecnología Eléctrica","Tecnología Eléctrica y Potencia","Ingeniería y Arquitectura","Tecnología Específica: Electrónica Industrial",es,
"Grado en Ingeniería Electrónica Industrial",Proyectos,Proyectos,"Ingeniería y Arquitectura","Común a la Rama Industrial",es,
"Grado en Ingeniería Electrónica Industrial","Trabajo Fin de Grado","Trabajo Fin de Grado","Ingeniería y Arquitectura","Trabajo Fin de Grado",es,
"Grado en Ingeniería Electrónica Industrial","Mantenimiento de Instalaciones","Mantemimiento de Instalaciones","Ingeniería y Arquitectura","Mantenimiento y Riesgos Laborales",es,
"Grado en Ingeniería Electrónica Industrial","Prevención de Riesgos Laborales","Prevención de Riesgos Laborales","Ingeniería y Arquitectura","Mantenimiento y Riesgos Laborales",es,
"Grado en Ingeniería Electrónica Industrial",Domótica,Domótica,"Ingeniería y Arquitectura","Sensores y Domótica",es,"<ul>&#13;	<li><a href="https://www.home-assistant.io/">Home Assistant</a>. Plataforma de automatización del hogar que prioriza el control local y la privacidad.</li>&#13;	<li><a href="https://esphome.io/">ESPHome</a>. Herramienta para domótica de programación de microcontroladores ESP mediante archivos de configuración simples pero potentes.</li>&#13;	<li><a href="https://www.arduino.cc/en/software">Arduino IDE</a>. Entorno de desarrollo integrado de Arduino, una plataforma electrónica basada en hardware y software de uso sencillo.</li>&#13;	<li><a href="https://tasmota.github.io/docs/">Tasmota</a>. Firmware de código abierto para dispositivos ESP.</li>&#13;	<li><a href="https://mosquitto.org/">Eclipse Mosquitto</a>. Broker de mensajes que implementa el protocolo de mensajería simple <strong>MQTT</strong> (Message Queuing Telemetry Transport).</li>&#13;	<li><a href="https://nodered.org/">Node-RED</a>. Herramienta de desarrollo basada en flujo y programación visual para conectar dispositivos de hardware, API y servicios en línea como parte del IoT.</li>&#13;	<li><a href="https://www.influxdata.com/">InfluxDB</a>. Base de datos para series temporales.</li>&#13;	<li><a href="https://grafana.com/">Grafana</a>. Herramienta de monitorización de datos métricos.</li>&#13;	<li><a href="https://github.com/espressif/esp-matter">Espressif's SDK for Matter</a>. Marco de desarrollo oficial de Matter para los SoC de la serie ESP32.</li>&#13;</ul>&#13;"
"Grado en Ingeniería Electrónica Industrial","Sensores y Actuadores","Sensores y Actuadores","Ingeniería y Arquitectura","Sensores y Domótica",es,
"Grado en Ingeniería Electrónica Industrial","Electrónica para Acondicionamiento Energético","Electrónica para Acondiciomamiento Energético","Ingeniería y Arquitectura","Eletrónica para Energías Renovables",es,
"Grado en Ingeniería Electrónica Industrial","Dispositivos para Energías Renovables","Dispositivos para Energias Renovables","Ingeniería y Arquitectura","Eletrónica para Energías Renovables",es,
"Grado en Ingeniería Electrónica Industrial","Electrónica de Radiofrecuencia para Aplicaciones Industriales","Electrónica de Radiofrecuencia para Aplicaciones Industriales","Ingeniería y Arquitectura","Diseño Electrónico y Propotipado",es,
"Grado en Ingeniería Electrónica Industrial","Prototipado y Test Electrónicos","Protopipado y Test Electrónicos","Ingeniería y Arquitectura","Diseño Electrónico y Propotipado",es,
"Grado en Ingeniería Electrónica Industrial","Sistemas Electrónicos Programables","Sistemas Electrónicos Programables","Ingeniería y Arquitectura","Diseño Electrónico y Propotipado",es,
"Grado en Ingeniería Electrónica Industrial","Dispositivos Electrónicos y Fotónicos","Dispositivos Electrónicos y Fotónicos","Ingeniería y Arquitectura","Dispositivos Electrónicos y Ópticos",es,
"Grado en Ingeniería Electrónica Industrial","Fibras, Componentes y Sistemas Ópticos","Fibras, Componentes y Sistemas Ópticos","Ingeniería y Arquitectura","Dispositivos Electrónicos y Ópticos",es,
"Grado en Ingeniería Electrónica Industrial","Procesamiento de Señales Biomédicas","Procesamiento de Señales Biomédicas","Ingeniería y Arquitectura","Señales y Sitemas Biomédicos",es,"<ul>&#13;	<li><a href="https://octave.org/">GNU Octave</a>.</li>&#13;	<li><a href="https://www.fieldtriptoolbox.org/">FieldTrip</a>.</li>&#13;</ul>&#13;"
"Grado en Ingeniería Electrónica Industrial","Circuitos y Sistemas Electrónicos para Aplicaciones Biomédicas","Circuitos y Sistemas Electrónicos para Aplicaciones Biomédicas","Ingeniería y Arquitectura","Señales y Sitemas Biomédicos",es,
"Grado en Ingeniería Electrónica Industrial","Sistemas Robóticos Industriales","Sistemas Robóticos Industriales","Ingeniería y Arquitectura","Control Industrial y Robótica",es,
"Grado en Ingeniería Electrónica Industrial","Control Inteligente","Control Inteligente","Ingeniería y Arquitectura","Control Industrial y Robótica",es,
"Grado en Ingeniería Electrónica Industrial","Tratamiento de Señales para Procesos Industriales","Tratamiento de Señales para Procesos Industriales","Ingeniería y Arquitectura","Tratamiento de Señales para Procesos Industriales",es,
"Grado en Ingeniería Electrónica Industrial","Prácticas Externas","Prácticas Externas","Ingeniería y Arquitectura","Prácticas Externas",es,
"Grado en Ingeniería Informática","Álgebra Lineal y Estructuras Matemáticas",Matemáticas,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática",Cálculo,Matemáticas,"Ingeniería y Arquitectura","Formación Básica",es,"<p>Para las prácticas de ordenador de la asignatura usaremos <a href="https://maxima.sourceforge.io/">https://maxima.sourceforge.io/</a></p>&#13;"
"Grado en Ingeniería Informática","Fundamentos Físicos y Tecnológicos",Física,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática","Fundamentos del Software",Informática,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática","Fundamentos de Programación",Informática,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática","Lógica y Métodos Discretos",Matemáticas,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática","Tecnología y Organización de Computadores",Informática,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática","Metodología de la Programación",Informática,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática","Ingeniería, Empresa y Sociedad",Empresa,"Ingeniería y Arquitectura","Formación Básica",es,
"Grado en Ingeniería Informática",Estadística,Estadística,"Ingeniería y Arquitectura","Formación Básica",es,"<p>Paquete estadístico R.</p>&#13;"
"Grado en Ingeniería Informática","Programación y Diseño Orientado a Objetos","Programación e Ingeniería del Software","Ingeniería y Arquitectura","Formación Específica de Rama",es,
"Grado en Ingeniería Informática","Estructura de Datos","Programación e Ingeniería del Software","Ingeniería y Arquitectura","Formación Específica de Rama",es,
"Grado en Ingeniería Informática","Sistemas Operativos","Sistemas Operativos, Sistemas Distribuidos y Redes","Ingeniería y Arquitectura","Formación Específica de Rama",es,
"Grado en Ingeniería Informática","Sistemas Concurrentes y Distribuidos","Sistemas Operativos, Sistemas Distribuidos y Redes","Ingeniería y Arquitectura","Formación Específica de Rama",es,
"Grado en Ingeniería Informática","Estructura de Computadores","Estructura y Arquitectura de Computadores","Ingeniería y Arquitectura","Formación Específica de Rama",es,"<p>Los guiones de prácticas están redactados suponiendo la existencia de un Laboratorio en el que se disponga de Linux Ubuntu con herramientas normales de desarrollo (gcc, as, ld, textedit, ghex, gnuplot, etc.).</p>&#13;"
